parameter,average,min,max,std_dev
intensity,0.5421172430128266,0.5370505492611707,0.5640032876131221,0.006622144774188404
motion,0.11318956480851883,0.0,0.5,0.08958399402816244
contrast,0.40948659006587196,0.32494354612432763,0.6574372911479279,0.05563609066963622
dynamics,0.15625722395952804,0.0,0.3333333333333333,0.06678122289313787
color_arousal,0.46976656645731196,0.4242155905330882,0.4954426843979779,0.024691802173863214
color_valence,0.7055437883652185,0.6497457703073426,0.7296474705213086,0.02775637967056447
color_dominance,0.548619073606005,0.5223548081341912,0.5659772805606618,0.01511364054867596
color_harmony,0.6872687525531044,0.6600735294117647,0.7391389016544118,0.02749734559752454
audio_volume,0.22668023467006776,0.1077095860751961,0.3261667937740502,0.06038057281872835
audio_brightness,0.5231585438462785,0.38849028367776145,0.6766277869654219,0.10745556946843339
audio_tempo,0.5918886082266179,0.5918886082266179,0.5918886082266179,0.0
audio_energy,0.315623727422931,0.1981351896236891,0.40773878852669665,0.05222751539599471
pleasure,0.64134929053009,0.5655155271436296,0.6756580808181212,0.023170120669015054
arousal,0.2839398830545389,0.212101615776909,0.40717970071452125,0.04545386523798415
dominance,0.450817758305881,0.40804725288417903,0.482432346126493,0.02098750486715675
boredom,0.4880796608910542,0.4406375583664006,0.5439954605673458,0.02442673175682437
engagement,0.2854041380291631,0.22868614395374018,0.46859308139272415,0.0494613713909595
stress_level,0.021136421887011276,0.016028742612972963,0.0431496310003081,0.004860010557830786
neural_activity,0.29872133802373346,0.23667120400173486,0.5031891730968349,0.05065969517206623
visual_engagement,0.2921709739416873,0.2054850839812934,0.5052524275787533,0.05425066334249235
cognitive_load,0.29950036955781334,0.23075760855239086,0.43008422739689534,0.041751167719454946
emotional_variability,0.00980113680190391,0.0,0.0523908722201453,0.010766046692553304
narrative_tension,0.0047871712010240635,0.0,0.059603454542419415,0.012945192246307236
narrative_payoff,0.0,0,0,0.0
