frame,time,intensity,motion,contrast,dynamics,color_arousal,color_valence,color_dominance,color_harmony,audio_volume,audio_brightness,audio_tempo,audio_energy,pleasure,arousal,dominance,boredom,engagement,stress_level,neural_activity,visual_engagement,cognitive_load,emotional_variability,narrative_tension,narrative_payoff,parameter
0,0.0,0.0,0.0,0.0,0.0,0,0.589591487075041,0,1.0,0.2593464557324422,0.401593369308801,0.539691333789984,0.3020205298053498,0.588509927640135,0.21342431125912345,0.20446275570381284,0.5490328805503708,0.12805458675547407,0.01844261690950792,0.060404105961069966,0,0.09060615894160494,0,0,0,DATA
12,0.5005,0.0,0.0,0.0,0.0,0,0.589591487075041,0,1.0,0.1732118237527439,0.37891906046055324,0.539691333789984,0.23492399476508669,0.6009726335737202,0.11336133227840522,0.09771330969922007,0.5928330170739372,0.06801679936704313,0.009499197513461557,0.04698479895301734,0,0.070477198429526,0.07309171030629874,0,0,DATA
24,1.001,0.29399637459150324,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.589591487075041,0,1.0,0.1493899119827664,0.42110361754716413,0.539691333789984,0.23090402365208573,0.5338672514200656,0.17583157798379287,0.12242511309036265,0.5951505852980707,0.23568532342426265,0.01721177991387381,0.30498007964871776,0.32546594158496733,0.29867084455477605,0.0514291437500616,0,0,DATA
36,1.5014999999999998,0.42956420632489106,0.26191544543164486,0.32088477745505517,0.30184958098062953,0,0.589591487075041,0,1.0,0.24082117552927182,0.6926177923059094,0.539691333789984,0.37636016056226307,0.559279181984461,0.20512143183407366,0.17750846411648297,0.5677996930907325,0.24992462340933044,0.018984269898390624,0.3301280070410998,0.3171294107722156,0.33574289617580444,0.03659504514693217,0,0,DATA
48,2.002,0.511196640114379,0.2175531896786492,0.31260427238566285,0.307214997067452,0,0.589591487075041,0,1.0,0.3314641033734481,0.5290142307140253,0.539691333789984,0.3907291415756212,0.5792363208747139,0.20450444239112434,0.23021129536738857,0.5581296183670807,0.2482080195613864,0.018070088731370466,0.3299272866865923,0.31376338531677955,0.34056545244582775,0.024425653194702596,0,0,DATA
60,2.5025,0.5659289612835875,0.18753602714233839,0.3063247145088859,0.2919329601100233,0,0.589591487075041,0,1.0,0.2556876667514548,0.6590825757557057,0.539691333789984,0.37670613945273007,0.588582236228608,0.19296970960226534,0.24160288049757545,0.5592240270845633,0.2394981911522876,0.016672144944037574,0.32480637390597605,0.30929091347732096,0.33270291268475466,0.010757411090979977,0,0,DATA
72,3.0029999999999997,0.6011781969732338,0.16974431265561776,0.3143856629815727,0.2766182348354312,0,0.589591487075041,0,1.0,0.19341594445093918,0.521535578923481,0.539691333789984,0.2918518347927017,0.5773028668983815,0.16670820573071993,0.23934563384834895,0.5779944636854493,0.22406927817239547,0.014798086931646923,0.3093808640117488,0.3101108868349088,0.30705507974595597,0.013266039950332783,0,0,DATA
84,3.5035,0.6271855107060185,0.15325159143518519,0.3227684244798733,0.26255802669637385,0,0.589591487075041,0,1.0,0.29400248952964453,0.6262934775852187,0.539691333789984,0.39368978594631676,0.5987684972978635,0.17559776236979435,0.2652531702039939,0.562816870166171,0.2292882849134275,0.014795624354020702,0.3300293808005158,0.3098240687288772,0.33701693702901775,0.018754241131400468,0,0,DATA
96,4.004,0.6472691236988622,0.1402955549503752,0.3296773861166992,0.2471512788112067,0,0.589591487075041,0,1.0,0.3873020675089033,0.5578406419821498,0.539691333789984,0.4384636398508772,0.617331463399476,0.1840394484657276,0.2968359012148289,0.5493145440673982,0.23409982525385775,0.01478948234844098,0.3392002519134379,0.30919039043605295,0.3491599398591218,0.01952912773612689,0,0,DATA
108,4.504499999999999,0.6632148692810458,0.1301465907543573,0.33524750692341687,0.23363875089297886,0,0.589591487075041,0,1.0,0.11842950954671888,0.34943857545949125,0.539691333789984,0.1877322293205506,0.5723780394997547,0.13107664810825395,0.25319608991827924,0.5982726561959957,0.20210188379466237,0.011770763180368985,0.28929755740674556,0.308639737324275,0.27270277124687337,0.047185345184581506,0.03904397722630719,0,DATA
120,5.005,0.6764493510472371,0.1218778625717964,0.339530480960435,0.22156909056284116,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.32805853177669886,0.3910009277098068,0.539691333789984,0.3469412505566312,0.6670695162377306,0.2014873524113835,0.42751240638811816,0.515721565675443,0.24411523887986236,0.01408706915916316,0.32133536154157927,0.30805706858258064,0.31920542801015955,0.11313949917031478,0,0,DATA
132,5.5055,0.688000408496732,0.11542053887527233,0.3415754332561273,0.21078277262866693,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.31818594638153896,0.6562602157218251,0.539691333789984,0.4196082271836248,0.712093062327062,0.23606257815896428,0.48015978046048013,0.4759221797569868,0.26456522869104265,0.014272451335154451,0.33600502933740584,0.3073192044891603,0.3395460026758167,0.04408204863642474,0,0,DATA
144,6.005999999999999,0.7558711831086601,0.11868439939633262,0.37210275438686996,0.1997650632377475,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.3106096471971767,0.3279696188144215,0.539691333789984,0.31581763868235013,0.7031186918591711,0.22555300324386768,0.5086158325219776,0.48566415244848055,0.26743393355436096,0.014062118838207733,0.3362320749941091,0.3302553290201008,0.32111377106928796,0.015979999148161683,0,0,DATA
156,6.5065,0.8238261037922112,0.12155036566131083,0.40258025134870196,0.18993452338484937,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.10368485103611741,0.30105176459567695,0.539691333789984,0.1628949251039853,0.6677107579517018,0.191088831472076,0.4879689742901502,0.5206002052881111,0.25591445678967045,0.013334320224487738,0.326480402313504,0.3531528947660621,0.2881156102737587,0.030172987970362813,0,0,DATA
168,7.007,0.8189459507761437,0.04102502184322803,0.3478740006548921,0.17819056503932662,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.1668584862597958,0.6972814218901318,0.539691333789984,0.32598536694889657,0.7082476927686897,0.1924514764589067,0.4940165480842002,0.49965041538620175,0.23642306811251212,0.011791114080261225,0.3149710724132777,0.30238045559292026,0.30845057161035594,0.01598238453262289,0.012307506552968408,0,DATA
180,7.507499999999999,0.8176423781318083,0.08195630786726611,0.400909596839124,0.16994499656986775,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.3923730862895345,0.48503184772685337,0.539691333789984,0.42017071472073014,0.7315921261808233,0.22409995307377156,0.54291513597335,0.4721539603727026,0.26789132283705974,0.012631540304776744,0.3605270610852389,0.3335783774819921,0.3543252969332443,0.03463049930538272,0,0,DATA
192,8.008,0.8161416845383985,0.08281040787140254,0.410272276486825,0.17230234197778024,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.2564154526085075,0.33123527432243144,0.539691333789984,0.2788613991226847,0.708741138928005,0.2041586877837997,0.5287184636124631,0.49355008664409755,0.2571609795503063,0.012487235645191124,0.33417923517814263,0.33666441720006623,0.31472268688861793,0.018996308301225635,0,0,DATA
204,8.5085,0.8146773726851851,0.08283524366664306,0.41968736555689506,0.17506324660369513,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.3875623917158032,0.4879511275471692,0.539691333789984,0.417679012465213,0.7310323260370901,0.22733496102140643,0.5516928136275543,0.4708163564707517,0.2721938191452968,0.012840608692039056,0.3635428476081159,0.3394821063311323,0.35913121826804173,0.022813936787260996,0,0,DATA
216,9.008999999999999,0.8154729484386348,0.08012211248427008,0.42193773791992273,0.16753750046470373,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.17095216129596225,0.5473248703998012,0.539691333789984,0.28386397402711394,0.710188281646113,0.20542700818962323,0.5132640411521395,0.4921923550821318,0.25864760735532677,0.012502382390343868,0.33630377707084236,0.3384785061038822,0.3177167384975596,0.027060256566058354,0,0,DATA
228,9.5095,0.8167878682144155,0.07849660554322467,0.4220249607612008,0.16103086425976063,0.2627661611519608,0.8503314032535316,0.5021675857843138,0.9813082107843137,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7301246130573251,0.22424766866748116,0.532824539434184,0.47281385913759677,0.26953531740629244,0.012708974534052137,0.3605513249805842,0.3374667905145093,0.35325086614743406,0.019439163390371484,0.0235489816629674,0,DATA
240,10.01,0.8184815339619643,0.07616898957104981,0.4211396029652841,0.1554009713705234,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.741940598769266,0.23068909231452828,0.5425063482410329,0.46368515445810277,0.2728318076476971,0.012501612696961224,0.3597819401820406,0.3360458806474504,0.3517237722995361,0.009313072721945656,0,0,DATA
252,10.510499999999999,0.8203254073620188,0.07304697123760817,0.42008201958825114,0.1505868623031966,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.746141018332871,0.23174735427527876,0.5457981042970992,0.461055813695925,0.2727952773948641,0.012354540945678462,0.35869039085326826,0.33436716207424205,0.35021263923180174,0.002850145860140596,0,0,DATA
264,11.011,0.8219968398238926,0.06978214243635499,0.4192759067932694,0.14639054667424672,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7480867582502156,0.23115068079915302,0.5471366319309126,0.4603812804753156,0.2717840291373822,0.012228282639884696,0.3575575232661454,0.332734051644726,0.34884926683326567,0.0012936470090945673,0,0,DATA
276,11.5115,0.8246259701797386,0.06897944978521393,0.41006382822574877,0.14259598681694174,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7488390456821588,0.23074692481399578,0.5480903075957841,0.4602070147519227,0.27036644332817833,0.012170469746859971,0.35591985656335406,0.32979572109945215,0.345929844357838,0.0007032396939906463,0,0,DATA
288,12.011999999999999,0.8303317333877995,0.07159618988646976,0.38496237051519006,0.14514247404316166,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.748515216490478,0.23135848524680025,0.5495746205689385,0.4600631491313608,0.26869820362448854,0.012218459100830322,0.35308741370335683,0.324707781191021,0.34112686471143683,0.0008065675325465057,0.02147885696594093,0,DATA
300,12.5125,0.8327687071645787,0.07519164542881844,0.3834113231980624,0.1528814268288708,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7476630220690805,0.23254868092849923,0.5505316789540085,0.45989414850121,0.2703059842557991,0.01232293258713702,0.35470278121222665,0.3269419392467489,0.3430699091483269,0.0009998161627221558,0,0,DATA
312,13.013,0.8345403844408134,0.07243735522095161,0.3837438686224843,0.11769146635083243,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7479857646863134,0.2321345383748062,0.5511908486975386,0.4599398484694402,0.2683908535042324,0.012285253717468707,0.35402190966921115,0.3227753261983718,0.33587907760526814,0.00046535163815203395,0,0,DATA
324,13.513499999999999,0.8365438623366014,0.027565249609132075,0.33606859136095096,0.1103854154015806,0.2696564372276688,0.8694252851621767,0.5145175483387798,0.9801637391067538,0.3176807178281285,0.6152469412038837,0.539691333789984,0.406950584840855,0.7575057296499653,0.21944610603738882,0.5518093299787132,0.46152408215632285,0.24774526012619988,0.011175028906585517,0.3269387075513343,0.2901939912594165,0.31596858004784034,0.007608959527414629,0,0,DATA
