parameter,average,min,max,std_dev
intensity,0.2757071382270013,0.0,0.9569130625340415,0.23170266973785325
motion,0.10977815722565472,0.0,0.3333333333333333,0.04895033741865088
contrast,0.450931677554467,0.0,0.7293553378366308,0.11099651531395774
dynamics,0.21000994052461425,0.0,0.4159478971364224,0.08513438259713332
color_arousal,0.4828196762826184,0.0,0.6394207005718953,0.12357237947357443
color_valence,0.47082038940990756,0.05682696434597687,0.9600349815857361,0.28861468803786966
color_dominance,0.42273420096277303,0.0,0.5831583605664489,0.08526703854552979
color_harmony,0.5656758787180288,0.33114379084967327,1.0,0.21689255432415858
audio_volume,0.3159955392964619,0.10368485103611741,0.3923730862895345,0.01780945146658259
audio_brightness,0.6119738808746246,0.30105176459567695,0.6972814218901318,0.028761394917065516
audio_tempo,0.5396913337899838,0.539691333789984,0.539691333789984,2.220446049250313e-16
audio_energy,0.40478904176991065,0.1628949251039853,0.4384636398508772,0.018483007957297258
pleasure,0.576741184406508,0.39021802807294426,0.7813855219174202,0.11657289806550851
arousal,0.31035784816871365,0.11336133227840522,0.37994257891018435,0.039920195624804485
dominance,0.3467813363844301,0.09771330969922007,0.612035854920193,0.0913114800314514
boredom,0.48661972843599355,0.4256272973211537,0.5982726561959957,0.030398625075038023
engagement,0.2883479840430137,0.06801679936704313,0.37178205747518955,0.024580502439528473
stress_level,0.02823046435239201,0.009499197513461557,0.04759587167619815,0.010038800708506844
neural_activity,0.2701968344005377,0.04698479895301734,0.38583797642763984,0.046783868441247926
visual_engagement,0.2553331878544637,0.0,0.38916220059058004,0.05309829442024775
cognitive_load,0.32020905743106115,0.070477198429526,0.4196691497835597,0.03788078873208851
emotional_variability,0.008981222303686233,0.0,0.11580229741553759,0.01621524956343465
narrative_tension,0.011790835550212948,0.0,0.25072616787401547,0.032397881695163035
narrative_payoff,0.0,0,0,0.0
