parameter,average,min,max,std_dev
intensity,0.20506285753668932,0.0,0.32012664707977206,0.05627515756758414
motion,0.1894166052649964,0.0,0.3339309621152332,0.07333081133858328
contrast,0.5611513661193613,0.0,0.707058088999055,0.14467828439425667
dynamics,0.1697023064651293,0.0,0.2759450503966752,0.04703715502419193
color_arousal,0.20754087124873422,0.0,0.45632582720588233,0.07528977716591882
color_valence,0.6402496735448574,0.3295485304063205,0.813408566144239,0.112248714575
color_dominance,0.2139320902950382,0.0,0.38199159177559916,0.06999814909850187
color_harmony,0.8390802782380558,0.4940921160130719,1.0,0.08105532632912349
audio_volume,0.0,0.0,0.0,0.0
audio_brightness,1.0,1.0,1.0,0.0
audio_tempo,0.5,0.5,0.5,0.0
audio_energy,0.3500000000000001,0.35,0.35,1.1102230246251565e-16
pleasure,0.6041048641710218,0.4748733129909949,0.6926585388851374,0.04836481369538806
arousal,0.24350576412405658,0.10500043368572479,0.3247772913314554,0.041196858403426434
dominance,0.1476953150596795,4.118872834749326e-08,0.23268760487146767,0.040983893621727815
boredom,0.5256378101037578,0.4735356990412075,0.5770817025849917,0.024014375463385623
engagement,0.2666552837266344,0.063,0.355284759863449,0.05160584657574509
stress_level,0.02039891384057276,0.007919553083998138,0.03720277416106207,0.005342356420715993
neural_activity,0.2990094868372087,0.06999999999999999,0.3893545722682589,0.05803704705455613
visual_engagement,0.3020948540956578,0.0,0.4040952035169335,0.07124173499159761
cognitive_load,0.32814707936628457,0.105,0.3853718105934434,0.04722752504860132
emotional_variability,0.005432260411428811,0.0,0.07250856163810114,0.008722963914920286
narrative_tension,0.017503362542517983,0.0,0.27555737696036137,0.042294741684597216
narrative_payoff,0.0,0,0,0.0
