parameter,average,min,max,std_dev
intensity,0.5882792071780739,0.16361102600762525,0.9368487292085638,0.1834175560106407
motion,0.11363446577947847,0.0,0.5,0.058762180695709175
contrast,0.7538808602500064,0.3169513137239737,0.8766118688497874,0.0961432005793214
dynamics,0.17712135486415076,0.0,0.3333333333333333,0.028001296802051007
color_arousal,0.38023487586134097,0.2756841894744009,0.43171628199891066,0.03826649569491798
color_valence,0.39255043334852696,0.10940125228904282,0.9706115757298006,0.24810660714099833
color_dominance,0.4828780395737976,0.27235643041939,0.6082264433551198,0.06949748961884537
color_harmony,0.7779266302808925,0.6478131808278866,0.9971296296296296,0.11021626133534776
audio_volume,0.23325108230043087,0.13420627049783623,0.3976455009889973,0.00702390831283976
audio_brightness,0.5706808616300126,0.3486983964788481,0.6503527956805981,0.007567088467561035
audio_tempo,0.4418740231393767,0.44187402313937657,0.44187402313937657,1.1102230246251565e-16
audio_energy,0.33448001609930544,0.25724198029885,0.45345767705231743,0.004494577782596079
pleasure,0.523284749956672,0.33648053129702254,0.7829000833431721,0.09472855546019732
arousal,0.25992130095470883,0.1830533518859306,0.37268281557841054,0.02295015262533468
dominance,0.43965835586505175,0.24106968472684437,0.5942239961895761,0.07932431437452575
boredom,0.5274119581641661,0.43189885785930593,0.574000813170948,0.022468626302585795
engagement,0.3187471890963546,0.24486389443973267,0.4098366099806175,0.027768895004082726
stress_level,0.026209366180231362,0.008609380313396524,0.0519292837953365,0.0062883813679164196
neural_activity,0.3807818030172686,0.1963181077622082,0.49255620212259343,0.04370715824854941
visual_engagement,0.40698602130882316,0.15597141649759633,0.523641429252224,0.04363010661352913
cognitive_load,0.4001115814498525,0.24121342122577533,0.45513743911075505,0.022886866666152916
emotional_variability,0.00713321332039625,0.0,0.10537106700475855,0.012395707281180215
narrative_tension,0.013381832675234219,0.0,0.32696414247064143,0.036062506522086646
narrative_payoff,0.0,0,0,0.0
