parameter,average,min,max,std_dev
intensity,0.20506285753668932,0.0,0.32012664707977206,0.05627515756758414
motion,0.1894166052649964,0.0,0.3339309621152332,0.07333081133858328
contrast,0.5611513661193613,0.0,0.707058088999055,0.14467828439425667
dynamics,0.1697023064651293,0.0,0.2759450503966752,0.04703715502419193
color_arousal,0.20754087124873422,0.0,0.45632582720588233,0.07528977716591882
color_valence,0.6402496735448574,0.3295485304063205,0.813408566144239,0.112248714575
color_dominance,0.2139320902950382,0.0,0.38199159177559916,0.06999814909850187
color_harmony,0.8390802782380558,0.4940921160130719,1.0,0.08105532632912349
audio_volume,0.2972213477006824,0.11363455870144278,0.39758141499712674,0.042598006886609543
audio_brightness,0.4330555145404584,0.32814231052526227,0.6895576946165848,0.0595472561835032
audio_tempo,0.47108408630979653,0.47108408630979653,0.47108408630979653,0.0
audio_energy,0.33797159775261515,0.2112496516290589,0.44875175393536415,0.02480388691065742
pleasure,0.6004996347397697,0.4721470667362781,0.6899322926304206,0.04840099248511476
arousal,0.23990053469280456,0.10227418743100797,0.32205104507673865,0.042591865367999436
dominance,0.23675009627870808,0.06747656467797261,0.3251487320624127,0.04481664268287155
boredom,0.5290313756413274,0.4767067302038721,0.6099383519887969,0.024164677753126827
engagement,0.2647782624539459,0.0667510930853682,0.3522249353333572,0.050823765228641994
stress_level,0.020307405996289107,0.007772520659410057,0.03569907364892475,0.005226584127161565
neural_activity,0.29660380638773176,0.06365191050412324,0.3875370747651144,0.05857376549294749
visual_engagement,0.3020948540956578,0.0,0.4040952035169335,0.07124173499159761
cognitive_load,0.3245385586920691,0.09547786575618485,0.3826455643387266,0.04807390701885331
emotional_variability,0.006279870646755132,0.0,0.06415935192316148,0.00921480861388271
narrative_tension,0.017503362542517983,0.0,0.27555737696036137,0.042294741684597216
narrative_payoff,0.0,0,0,0.0
