parameter,average,min,max,std_dev
intensity,0.20506285753668932,0.0,0.32012664707977206,0.05627515756758414
motion,0.1894166052649964,0.0,0.3339309621152332,0.07333081133858328
contrast,0.5611513661193613,0.0,0.707058088999055,0.14467828439425667
dynamics,0.1697023064651293,0.0,0.2759450503966752,0.04703715502419193
color_arousal,0.20754087124873422,0.0,0.45632582720588233,0.07528977716591882
color_valence,0.6402496735448574,0.3295485304063205,0.813408566144239,0.112248714575
color_dominance,0.2139320902950382,0.0,0.38199159177559916,0.06999814909850187
color_harmony,0.8390802782380558,0.4940921160130719,1.0,0.08105532632912349
audio_volume,0.316701732812343,0.10398642679855624,0.37959232201012183,0.048393680115936026
audio_brightness,0.6170578569860601,0.3036608069615549,0.6905546323254683,0.06245369176913386
audio_tempo,0.5830371713507524,0.5830371713507524,0.5830371713507524,0.0
audio_energy,0.406808570064458,0.16388874084745583,0.4455258107446761,0.0467934661986746
pleasure,0.6211215808400051,0.49628933320094176,0.7140745590950843,0.04652582348587804
arousal,0.2605224807930399,0.12031775605769117,0.34619331154140226,0.04612551344704324
dominance,0.24258621770172106,0.09015643326711188,0.33177052024762543,0.0433970403327157
boredom,0.5091490427578126,0.4525644637392085,0.5858765932946514,0.02598251345963764
engagement,0.27715143011408705,0.0721906536346147,0.36671029521215537,0.05262024089043157
stress_level,0.02089503815110074,0.008966342203074996,0.03662006539755771,0.0053341927360819495
neural_activity,0.3103712008501003,0.05517784326570783,0.40363191907489016,0.060450807486915246
visual_engagement,0.3020948540956578,0.0,0.4040952035169335,0.07124173499159761
cognitive_load,0.345189650385622,0.08276676489856173,0.40678783080339026,0.05144835638022986
emotional_variability,0.006750538521516225,0.0,0.06901288606008248,0.010029627178391794
narrative_tension,0.017503362542517983,0.0,0.27555737696036137,0.042294741684597216
narrative_payoff,0.0,0,0,0.0
